"Name","Invert_Elev","MaxDepth","InitDepth","SurDepth","Aponded"
29986,483.3782345,0,0,0,0
30055,172.6060177,7.6,0,0,7.6
30092,768.5335995,0,0,0,0
30093,765.858337,0,0,0,0
30257,231.2921749,13.6,0,0,13.6
30602,768.7547298,0,0,0,0
30879,1006.1884037,0,0,0,0
30880,998.7532536,5.9,0,0,5.9
30881,1010.3205153,4.1,0,0,4.1
30882,1015.0006195,3.3,0,0,3.3
30889,1024.8959216,6.5,0,0,6.5
30890,1025.5637,4.6,0,0,4.6
30891,1025.8663838,0,0,0,0
30935,889.1568752,4.4,0,0,4.4
30936,916.2033154,5,0,0,5
30946,965.877132,5.8,0,0,5.8
30947,973.9028317,0,0,0,0
31009,797.391296,0,0,0,0
31010,1025.7730619,0,0,0,0
31846,971.4609905,6.5,0,0,6.5
31847,1015.8508659,0,0,0,0
31848,1005.4588371,0,0,0,0
31849,1013.4822489,2.9,0,0,2.9
31856,1022.3243941,0,0,0,0
31857,1017.8500496,0,0,0,0
31902,222.9566036,0,0,0,0
31903,432.2053219,0,0,0,0
31957,579.0195919,5.3,0,0,5.3
31958,552.1606136,11.5,0,0,11.5
31983,829.443832,0,0,0,0
32005,766.7192379,0,0,0,0
32006,686.7951351,0,0,0,0
32431,932.5157238,0,0,0,0
32732,993.8562656,4.5,0,0,4.5
32776,809.8182064,5,0,0,5
32777,952.1106793,5.2,0,0,5.2
32778,936.0642239,0,0,0,0
32784,971.3342701,6.8,0,0,6.8
32785,1001.9776054,3.5,0,0,3.5
32786,335.5261837,0,0,0,0
32787,502.8640743,10,0,0,10
32855,822.5115048,7.9,0,0,7.9
32856,127.8430172,6.2,0,0,6.2
32865,261.6433102,0,0,0,0
32866,385.2260738,0,0,0,0
32898,779.8579556,0,0,0,0
33629,999.5359589,3.8,0,0,3.8
33679,912.613876,0,0,0,0
33680,895.6145931,7.7,0,0,7.7
33681,941.9996105,8.5,0,0,8.5
33682,949.0413586,6.3,0,0,6.3
33683,971.6206089,0,0,0,0
33691,985.7308155,0,0,0,0
33692,386.2781368,0,0,0,0
33693,443.934692,0,0,0,0
33750,767.4859921,0,0,0,0
33758,754.1528011,0,0,0,0
33771,774.7754513,0,0,0,0
34528,837.3969875,0,0,0,0
34619,791.8966366,0,0,0,0
34620,767.5152584,0,0,0,0
34621,924.3537441,0,0,0,0
34622,900.3998104,0,0,0,0
34623,954.0078655,7.4,0,0,7.4
34635,1005.4298435,4,0,0,4
34636,409.1553341,4,0,0,4
34637,483.2376705,5,0,0,5
34638,421.728027,0,0,0,0
34639,466.3937985,6.5,0,0,6.5
34678,1004.9403416,0,0,0,0
34710,814.8767544,3.1,0,0,3.1
34711,813.3343502,0,0,0,0
34712,992.9191509,4.6,0,0,4.6
34727,328.0930782,0,0,0,0
35247,790.5287167,0,0,0,0
35528,1001.584642,4,0,0,4
35529,727.4834896,0,0,0,0
35541,1009.5081936,0,0,0,0
35542,1024.7141236,4.6,0,0,4.6
35543,1019.924656,0,0,0,0
35544,1025.7680737,3,0,0,3
35545,1025.5345076,0,0,0,0
35579,938.469421,0,0,0,0
35587,978.7888294,6.3,0,0,6.3
35588,992.4114758,3.7,0,0,3.7
35589,421.25415,0,0,0,0
35643,392.6712643,4.1,0,0,4.1
35652,185.3558346,9.8,0,0,9.8
35829,352.8514401,0,0,0,0
35869,192.1594235,0,0,0,0
35938,768.8093258,0,0,0,0
36445,1004.7297894,3.6,0,0,3.6
36457,1009.0258976,0,0,0,0
36504,825.6714016,4.1,0,0,4.1
36505,792.6261593,13.2,0,0,13.2
36506,965.9928471,0,0,0,0
36507,947.3453899,0,0,0,0
36513,939.9169842,5.8,0,0,5.8
36514,991.6926151,6,0,0,6
36587,339.0473019,4.4,0,0,4.4
36588,470.2542721,5.8,0,0,5.8
36589,540.3043514,14.5,0,0,14.5
36606,214.3533321,7.4,0,0,7.4
36634,731.010223,0,0,0,0
36749,387.113525,0,0,0,0
36751,260.5728756,0,0,0,0
36949,1024.9387596,0,0,0,0
37398,1021.2638236,0,0,0,0
37412,995.0075413,0,0,0,0
37453,838.8236843,6.3,0,0,6.3
37510,244.2460323,9.6,0,0,9.6
37743,781.735519,0,0,0,0
38272,1017.7661081,0,0,0,0
38273,1007.6744515,0,0,0,0
38274,1013.9040094,0,0,0,0
38280,997.9553619,5,0,0,5
38311,841.1118618,4,0,0,4
38312,890.8814083,5,0,0,5
38313,849.1392361,0,0,0,0
38314,943.2011715,8.5,0,0,8.5
38326,964.8703877,5.3,0,0,5.3
38327,991.8421589,4.4,0,0,4.4
38328,985.3972889,3.5,0,0,3.5
38329,1001.7384087,5.6,0,0,5.6
38330,293.7374264,0,0,0,0
38395,779.8410336,0,0,0,0
38411,790.0478054,0,0,0,0
38430,783.0847469,0,0,0,0
38588,222.7514645,11,0,0,11
39190,536.6988522,0,0,0,0
39197,1006.6105724,0,0,0,0
39224,828.8437496,0,0,0,0
39225,939.9239727,4.3,0,0,4.3
39236,989.7040897,4.3,0,0,4.3
39303,258.4010616,0,0,0,0
39312,272.7809444,0,0,0,0
39313,176.2427975,8.6,0,0,8.6
39460,356.6004635,0,0,0,0
39461,331.8452755,13.2,0,0,13.2
39462,345.3093258,0,0,0,0
