"name","from_node","to_node","length","roughness","inoffset","outoffset","initflow","maxflow"
"32_53715",1520,1521,117.456270118243,0.01,0,0,0,0
"33_16611",65,66,110.571198741826,0.01,0,0,0,0
"33_53715",1521,1522,14.677442269472,0.01,0,0,0,0
"34_16611",66,67,26.6232757330028,0.01,0,0,0,0
"34_24232",1482,1483,36.351537245105,0.01,0,0,0,0
"34_53715",1522,1523,113.752226711428,0.01,0,0,0,0
"35_16611",67,68,37.632668128781,0.01,0,0,0,0
"35_24232",1483,1484,28.4410215320743,0.01,0,0,0,0
"35_53715",1523,1524,14.5615268838262,0.01,0,0,0,0
"36_16611",68,69,33.986563628316,0.01,0,0,0,0
"36_25778",1606,1607,498.195453405212,0.01,0,0,0,0
"36_53715",1524,1525,26.815884722506,0.01,0,0,0,0
"38_38332",1486,1487,76.9463956453205,0.01,0,0,0,0
"38_47390",167,168,10.988891499624,0.01,0,0,0,0
"38_50668",733,734,72.057261945283,0.01,0,0,0,0
"39_20206",1117,1118,14.3396132160459,0.01,0,0,0,0
"39_38332",1487,1488,170.180000946083,0.01,0,0,0,0
"39_6460",1424,1425,118.196341385031,0.01,0,0,0,0
"4_26829",1492,1493,25.7737910593296,0.01,0,0,0,0
"4_26829",1492,1643,134.274224166346,0.01,0,0,0,0
"4_29904",810,811,281.679950295257,0.01,0,0,0,0
"4_3105",384,385,73.3445547758456,0.01,0,0,0,0
"4_3202",648,649,26.7851363064239,0.01,0,0,0,0
"4_3252",1377,1378,44.0547747198938,0.01,0,0,0,0
"4_38036",296,297,4.68741466861144,0.01,0,0,0,0
"4_38187",748,749,126.979798009773,0.01,0,0,0,0
"4_39450",654,655,74.5084960219985,0.01,0,0,0,0
"4_41645",1623,1624,100.778677553819,0.01,0,0,0,0
"4_41962",643,644,180.633000815202,0.01,0,0,0,0
"4_43752",1296,1297,58.65658054636,0.01,0,0,0,0
"4_44701",391,392,51.2263765470475,0.01,0,0,0,0
"4_48420",32,1832,122.032677890822,0.01,0,0,0,0
"4_51799",101,102,9.34335817735788,0.01,0,0,0,0
"4_53716",699,700,48.9663741582389,0.01,0,0,0,0
"4_53720",908,532,305.445136274912,0.01,0,0,0,0
"4_55355",560,561,48.981994039056,0.01,0,0,0,0
"4_6456",1574,1575,93.0299714335506,0.01,0,0,0,0
"4_8466",1357,405,268.101209147007,0.01,0,0,0,0
"4_8469",265,266,74.7276909466878,0.01,0,0,0,0
"40_8467",169,170,20.8941105674413,0.01,0,0,0,0
"41_21996",1119,1120,73.2527301087395,0.01,0,0,0,0
"41_51065",1529,1530,86.7146697172409,0.01,0,0,0,0
"41_57140",73,74,14.3507946980651,0.01,0,0,0,0
"42_21996",1120,1121,151.169287249819,0.01,0,0,0,0
"42_51065",1530,1531,24.8980309695386,0.01,0,0,0,0
"43_21996",1121,1122,39.188040371281,0.01,0,0,0,0
"43_3104",443,444,45.6874236025178,0.01,0,0,0,0
"43_51065",1531,1532,85.3141574535929,0.01,0,0,0,0
"44_51065",1532,1533,17.7066671899013,0.01,0,0,0,0
"45_31480",174,175,125.696671387601,0.01,0,0,0,0
"46_16611",78,79,118.393227922845,0.01,0,0,0,0
"47_36818",1178,1179,38.7427586202681,0.01,0,0,0,0
"48_40346",1536,1537,35.683680265081,0.01,0,0,0,0
"49_16611",81,82,68.792528653646,0.01,0,0,0,0
"49_40346",1537,1538,23.5306364660447,0.01,0,0,0,0
"5_20180",260,261,46.5281568387125,0.01,0,0,0,0
"5_26829",1643,1494,189.855444024201,0.01,0,0,0,0
"5_26829",1493,1494,32.4091655358569,0.01,0,0,0,0
"5_29513",479,480,150.061308087022,0.01,0,0,0,0
"5_31723",803,804,96.6942657715454,0.58,0,0,0,0
"5_3252",1378,1379,82.9014784310166,0.01,0,0,0,0
"5_35035",1453,1454,30.9906005395292,0.01,0,0,0,0
"5_39450",655,656,51.3291147253857,0.01,0,0,0,0
"5_41245",909,910,79.9254301308443,0.01,0,0,0,0
"5_41245",909,109,606.524789028246,0.01,0,0,0,0
"5_41645",1624,1625,31.5817959825599,0.01,0,0,0,0
"5_41810",938,939,108.025259895937,0.01,0,0,0,0
"5_53716",700,701,11.4685082483035,0.01,0,0,0,0
"5_55355",561,562,34.5646503252362,0.01,0,0,0,0
"5_8469",266,267,39.0151222926106,0.01,0,0,0,0
"5_8523",1841,1842,53.8649976963575,0.01,0,0,0,0
"50_16611",82,83,36.9842820357232,0.01,0,0,0,0
"52_3202",1130,1131,100.450145146558,0.01,0,0,0,0
"53_35965",1541,1542,28.9974336391267,0.01,0,0,0,0
"54_35965",1542,1543,128.532317840139,0.01,0,0,0,0
"55_35965",1543,1544,37.058043587106,0.01,0,0,0,0
"56_8470",185,186,43.7627724647692,0.01,0,0,0,0
"59_54364",188,189,57.371125043568,0.01,0,0,0,0
"6_23383",524,525,130.058907983941,0.01,0,0,0,0
"6_26829",1494,1495,34.049360706576,0.01,0,0,0,0
"6_26830",683,684,45.0149020149286,0.01,0,0,0,0
"6_28092",989,990,179.602710837006,2,0,0,0,0
"6_29682",1359,1360,22.0723337403364,0.01,0,0,0,0
"6_3204",1785,1786,48.8099152505904,0.01,0,0,0,0
"6_3252",1379,1380,90.7248274382622,0.01,0,0,0,0
"6_39450",656,657,66.3348741336565,0.01,0,0,0,0
"6_41245",109,911,431.510531033071,0.01,0,0,0,0
"6_41245",910,911,95.2153664314022,0.01,0,0,0,0
"6_41904",497,498,37.8156468092426,0.01,0,0,0,0
"6_44700",1644,1645,29.7314625294859,0.01,0,0,0,0
"6_46474",6,7,3.967258392992,0.01,0,0,0,0
"6_50086",1833,1834,32.5424659263546,0.01,0,0,0,0
"6_53716",701,702,9.30824608368338,0.01,0,0,0,0
"6_55355",562,563,33.6547490062852,0.01,0,0,0,0
"6_55357",103,110,814.051118128205,0.01,0,0,0,0
"6_6228",1631,1632,100.803560804862,0.01,0,0,0,0
"60_54364",189,190,27.7236633209335,0.01,0,0,0,0
"61_50804",1192,1193,30.8390939317547,0.01,0,0,0,0
"62_18800",1447,1448,126.518386878793,0.01,0,0,0,0
"67_6568",196,197,21.635343284895,0.01,0,0,0,0
"68_38411",624,625,36.3577281048482,0.01,0,0,0,0
"69_50804",1200,1201,36.9447252452905,0.01,0,0,0,0
"7_23384",90,91,43.7486459431981,0.01,0,0,0,0
"7_25842",323,324,26.8374524865925,0.01,0,0,0,0
"7_26829",1495,1646,195.748388862618,0.01,0,0,0,0
"7_26829",1495,1496,23.6598557080838,0.01,0,0,0,0
"7_26830",684,685,43.9536086968828,0.01,0,0,0,0
"7_30426",335,336,24.4782557788912,0.01,0,0,0,0
"7_31185",1299,1300,69.6423267933899,0.01,0,0,0,0
"7_3207",407,408,117.082309395706,0.01,0,0,0,0
"7_3252",1380,1381,23.6413624377721,0.01,0,0,0,0
"7_34968",940,941,32.0456369420251,0.01,0,0,0,0
"7_41245",911,912,101.886721083622,0.01,0,0,0,0
"7_5882",1046,1047,179.646610436122,0.01,0,0,0,0
"7_7299",481,482,41.9147662224937,0.01,0,0,0,0
"72_16715",1560,1561,7.73286309018015,0.01,0,0,0,0
"75_41671",631,632,56.0648302082009,0.01,0,0,0,0
"76_41671",632,633,44.0506365997366,0.01,0,0,0,0
"77_42524",1565,1566,339.036800778489,0.01,0,0,0,0
"78_20209",634,635,122.563618640273,0.01,0,0,0,0
"78_56092",1209,1210,25.6755141645176,0.01,0,0,0,0
"8_16592",1835,1836,80.6421472187942,0.01,0,0,0,0
"8_23384",91,92,34.9745855046181,0.01,0,0,0,0
"8_25842",324,325,13.3010316379667,0.01,0,0,0,0
"8_26829",1496,1497,15.5602055408414,0.01,0,0,0,0
"8_26829",1646,1497,234.171555935588,0.01,0,0,0,0
"8_27082",970,396,156.899117340612,0.01,0,0,0,0
"8_34874",991,992,97.1567203505436,0.64,0,0,0,0
"8_41245",912,913,73.4022150253282,0.01,0,0,0,0
"8_8468",1368,1369,63.98370265009,0.01,0,0,0,0
"82_56092",1213,1214,24.1981629879336,0.01,0,0,0,0
"88_32984",1219,1220,39.2696260094002,0.01,0,0,0,0
"9_11484",1338,1339,76.1717492308,0.01,0,0,0,0
"9_22266",1048,1049,150.793894955225,0.01,0,0,0,0
"9_23384",92,93,34.5914498205044,0.01,0,0,0,0
"9_26829",1497,1498,19.6374983112736,0.01,0,0,0,0
"9_31292",283,284,63.0797017515316,0.01,0,0,0,0
"9_3824",112,113,73.1939154382886,0.01,0,0,0,0
"9_39450",659,933,299.852744133195,0.01,0,0,0,0
"9_44700",1647,1648,36.1497673490826,0.01,0,0,0,0
"9_46474",9,10,38.5686582745397,0.01,0,0,0,0
"9_4966",244,245,32.7127259152734,0.01,0,0,0,0
"9_52970",922,923,12.7184637138881,0.01,0,0,0,0
