"subc","nodes","x_coord","y_coord"
11,200,-157.749507959625,21.2795382684764
11,201,-157.749842737652,21.2795648380469
11,202,-157.749669890653,21.2795226832253
11,203,-157.749805778214,21.2794930793422
11,204,-157.749805778214,21.2794930793422
11,205,-157.749805778214,21.2794930793422
11,206,-157.750023210003,21.27943998157
11,207,-157.751291160559,21.2792794876583
11,208,-157.750341644651,21.2793653774103
11,209,-157.751163742812,21.2790039776515
11,210,-157.751163742812,21.2790039776515
11,211,-157.751075263013,21.279037802053
11,212,-157.750480472995,21.279335733957
11,213,-157.750480472995,21.279335733957
11,214,-157.750555987269,21.2794048612454
11,215,-157.750579268019,21.279314804035
11,216,-157.750601296013,21.2793145576208
11,217,-157.750601296013,21.2793145576208
11,218,-157.750601296013,21.2793145576208
11,219,-157.750696705089,21.2793427019042
11,220,-157.750768256949,21.2793666814272
11,221,-157.750768256949,21.2793666814272
12,222,-157.754210735837,21.2981772457833
12,223,-157.754595416345,21.2980849906299
12,224,-157.754595416345,21.2980849906299
12,225,-157.75470612199,21.2980796945224
12,226,-157.75470612199,21.2980796945224
12,227,-157.755283127015,21.2979495014684
12,228,-157.755283127015,21.2979495014684
12,229,-157.755393932484,21.2978841432387
12,230,-157.755393932484,21.2978841432387
12,231,-157.755592113385,21.2978298340796
12,232,-157.755592113385,21.2978298340796
12,233,-157.755801944104,21.2977755420077
12,234,-157.755858683232,21.2977639821221
12,235,-157.755858683232,21.2977639821221
13,236,-157.756174436101,21.2888321170087
13,237,-157.756159332887,21.2887138075962
13,238,-157.756124870866,21.2885171555424
13,239,-157.756124870866,21.2885171555424
13,240,-157.756070400728,21.2885273682435
13,241,-157.755599209936,21.2888242479407
13,242,-157.755660904327,21.2885952256892
13,243,-157.755660904327,21.2885952256892
13,244,-157.755417213234,21.2887552249737
13,245,-157.755480842067,21.2886881076701
13,246,-157.755541537312,21.2886204291895
13,247,-157.755541537312,21.2886204291895
13,248,-157.755541537312,21.2886204291895
13,249,-157.755541537312,21.2886204291895
13,250,-157.755541537312,21.2886204291895
13,251,-157.755068882423,21.2889134552918
13,252,-157.755068882423,21.2889134552918
13,253,-157.755484718145,21.2885652881576
13,254,-157.754693077324,21.2890336649717
13,255,-157.754693077324,21.2890336649717
14,256,-157.755257979272,21.2946087448977
14,257,-157.755257979272,21.2946087448977
14,258,-157.755192802706,21.2946162515389
14,259,-157.754797184642,21.2946642519537
14,260,-157.754797184642,21.2946642519537
14,261,-157.754663126302,21.2946888951764
15,262,-157.751196693073,21.2804675478391
15,263,-157.751272001402,21.2804408199879
15,264,-157.751272001402,21.2804408199879
15,265,-157.751341439856,21.2804113932712
15,266,-157.751542039034,21.2803281817003
15,267,-157.751647479148,21.2802862490112
15,268,-157.751740480739,21.2802486591484
15,269,-157.751740480739,21.2802486591484
16,270,-157.756535613728,21.2980332328474
16,271,-157.756021054028,21.2983451141358
16,272,-157.755975524051,21.2981821632762
16,273,-157.755975524051,21.2981821632762
16,274,-157.756048415002,21.2981635625984
17,275,-157.757301106761,21.2889829989663
17,276,-157.757225476475,21.2889796202134
17,277,-157.757225476475,21.2889796202134
17,278,-157.757225476475,21.2889796202134
17,279,-157.757225476475,21.2889796202134
17,280,-157.757160968104,21.288911263644
17,281,-157.756735367543,21.2889482599543
17,282,-157.756735367543,21.2889482599543
17,283,-157.756550352717,21.289373784073
17,284,-157.756385749802,21.289442430224
17,285,-157.756320901488,21.2894593842432
17,286,-157.756320901488,21.2894593842432
17,287,-157.756273125904,21.289287489626
17,288,-157.756238957962,21.2891333071565
17,289,-157.75626502571,21.2889538321537
17,290,-157.75620480261,21.2889719561909
17,291,-157.75620213522,21.2889596741497
17,292,-157.75620213522,21.2889596741497
18,293,-157.753937787998,21.2949972088542
18,294,-157.754137912335,21.2953589854289
18,295,-157.754137912335,21.2953589854289
18,296,-157.754441407445,21.2957597835872
18,297,-157.754453884639,21.2957647694286
18,298,-157.754453884639,21.2957647694286
18,299,-157.754567265767,21.2958100359045
18,300,-157.754567265767,21.2958100359045
18,301,-157.754804600452,21.2957265950064
18,302,-157.75472234576,21.2957309036584
18,303,-157.755372650028,21.2954529573881
18,304,-157.755372650028,21.2954529573881
18,305,-157.755304837548,21.2954624254506
18,306,-157.754617745612,21.2957038007899
18,307,-157.754725407052,21.2956565594027
18,308,-157.754725407052,21.2956565594027
18,309,-157.754725407052,21.2956565594027
18,310,-157.754725407052,21.2956565594027
18,311,-157.75503630628,21.2954949827073
18,312,-157.75503630628,21.2954949827073
18,313,-157.754913639653,21.2955124817157
18,314,-157.754900048199,21.2955168713066
18,315,-157.754900048199,21.2955168713066
18,316,-157.754900048199,21.2955168713066
19,317,-157.752143978662,21.281118982555
19,318,-157.752143978662,21.281118982555
19,319,-157.752226213569,21.2810906925815
19,320,-157.752424258673,21.2809976028572
19,321,-157.752763089045,21.2810230096043
19,322,-157.752763089045,21.2810230096043
19,323,-157.752703686126,21.2809785102501
19,324,-157.75264539297,21.2809290232559
19,325,-157.752612751178,21.2809089935553
19,326,-157.752612751178,21.2809089935553
19,327,-157.752612751178,21.2809089935553
19,328,-157.752681629354,21.2807760108043
20,329,-157.754568672306,21.2998972171829
20,330,-157.754691527792,21.2998487122483
20,331,-157.754528373685,21.299546155131
20,332,-157.754528373685,21.299546155131
20,333,-157.754528373685,21.299546155131
20,334,-157.754525703598,21.2995238627361
20,335,-157.754525703598,21.2995238627361
20,336,-157.754517750893,21.2994574657895
20,337,-157.754709468367,21.2995702785456
20,338,-157.754709468367,21.2995702785456
20,339,-157.754709468367,21.2995702785456
20,340,-157.756667606325,21.2992510057294
20,341,-157.756667606325,21.2992510057294
20,342,-157.756714711914,21.2989507742589
20,343,-157.756714711914,21.2989507742589
20,344,-157.756602987338,21.2995730511554
20,345,-157.75457824469,21.2993163729523
20,346,-157.75536734133,21.299866083553
20,347,-157.754570175073,21.2990916107893
20,348,-157.754570175073,21.2990916107893
20,349,-157.755542201012,21.299822659788
20,350,-157.755542201012,21.299822659788
20,351,-157.754396349612,21.2986928954608
20,352,-157.754496972957,21.2990096906448
20,353,-157.754430636265,21.2987816882244
20,354,-157.754472742523,21.2988800542711
20,355,-157.754472742523,21.2988800542711
20,356,-157.754472742523,21.2988800542711
20,357,-157.754762666864,21.2991117169323
20,358,-157.754762666864,21.2991117169323
20,359,-157.754762666864,21.2991117169323
20,360,-157.754774601766,21.298942475315
20,361,-157.754774601766,21.298942475315
20,362,-157.756580853224,21.2988632189624
20,363,-157.756580853224,21.2988632189624
20,364,-157.756019697851,21.2999762397117
20,365,-157.754755193497,21.2988086543959
20,366,-157.754755193497,21.2988086543959
20,367,-157.754867974777,21.2988497920843
20,368,-157.754867974777,21.2988497920843
20,369,-157.754867974777,21.2988497920843
20,370,-157.756563744521,21.2986393336384
20,371,-157.756563744521,21.2986393336384
20,372,-157.755566555552,21.2991893365187
20,373,-157.755566555552,21.2991893365187
20,374,-157.755566555552,21.2991893365187
20,375,-157.755270025691,21.2988230822195
20,376,-157.755270025691,21.2988230822195
20,377,-157.755485612971,21.2988124774139
20,378,-157.755485612971,21.2988124774139
20,379,-157.756336488538,21.2986604973841
20,380,-157.756336488538,21.2986604973841
21,381,-157.752210833363,21.2826008404565
21,382,-157.752293138418,21.2825624645861
21,383,-157.752293138418,21.2825624645861
21,384,-157.752455524503,21.2824983995815
21,385,-157.752652083927,21.2824163409414
21,386,-157.752730155872,21.2823833142386
21,387,-157.752730155872,21.2823833142386
22,388,-157.756470766313,21.2900405171562
22,389,-157.756448031451,21.2899114428589
22,390,-157.756421435801,21.2898038704523
22,391,-157.756375782616,21.289656840291
22,392,-157.756338406792,21.2895223655648
22,393,-157.756338406792,21.2895223655648
22,394,-157.7562822837,21.2895340252751
22,395,-157.755911312457,21.2897035187025
22,396,-157.755860385648,21.2896379338436
22,397,-157.755860385648,21.2896379338436
22,398,-157.755860385648,21.2896379338436
22,399,-157.755860385648,21.2896379338436
22,400,-157.755772371698,21.289574510955
23,401,-157.756812424154,21.2820647482895
23,402,-157.756796029513,21.2822098098349
23,403,-157.756757336182,21.2820747118785
23,404,-157.756757336182,21.2820747118785
23,405,-157.756757336182,21.2820747118785
23,406,-157.756757336182,21.2820747118785
23,407,-157.756581406307,21.2821152542157
23,408,-157.756249021375,21.2821867098488
23,409,-157.75612108472,21.2822900572404
23,410,-157.756100269911,21.2822219785615
23,411,-157.756100269911,21.2822219785615
23,412,-157.756100269911,21.2822219785615
23,413,-157.756100269911,21.2822219785615
23,414,-157.756085647834,21.282183029823
23,415,-157.755975593299,21.2825742951676
23,416,-157.755975593299,21.2825742951676
23,417,-157.75593809067,21.2826066509762
23,418,-157.755944958793,21.2824501338666
23,419,-157.755891743209,21.2826595113274
23,420,-157.755897164323,21.2822672126618
23,421,-157.755897164323,21.2822672126618
23,422,-157.755897164323,21.2822672126618
23,423,-157.755857409792,21.2821067978904
23,424,-157.755808160218,21.281916756753
23,425,-157.755808160218,21.281916756753
23,426,-157.755808160218,21.281916756753
23,427,-157.755776641679,21.2818823855637
23,428,-157.755719640849,21.2819392092272
23,429,-157.755653805978,21.2817873604984
23,430,-157.755566171542,21.2817254026053
23,431,-157.755566171542,21.2817254026053
23,432,-157.75485073927,21.281983601562
23,433,-157.754837098353,21.2818949913608
23,434,-157.754817227833,21.2819041347681
23,435,-157.754817227833,21.2819041347681
23,436,-157.754817227833,21.2819041347681
23,437,-157.754817227833,21.2819041347681
23,438,-157.754661619938,21.2819402101726
23,439,-157.754646417798,21.2819743268537
23,440,-157.754646417798,21.2819743268537
23,441,-157.752835254244,21.2826101142654
23,442,-157.752835254244,21.2826101142654
23,443,-157.752931229892,21.2825674747093
23,444,-157.753053575462,21.2825159741329
23,445,-157.752807795244,21.2825507733995
23,446,-157.753250497313,21.2824366683176
23,447,-157.753250497313,21.2824366683176
23,448,-157.753250497313,21.2824366683176
23,449,-157.753277745871,21.2824276777952
23,450,-157.753712587866,21.2823315042955
23,451,-157.753262705609,21.2824135377546
23,452,-157.753327305711,21.2823874133485
23,453,-157.753305807417,21.2823752805947
23,454,-157.753335429287,21.2823641011224
23,455,-157.753335429287,21.2823641011224
23,456,-157.753335429287,21.2823641011224
