"link","shape","geom1","geom2","geom3","geom4","barrels","culvert"
"2_79","Trapezoidal",30,10,1,1,1,0
"2_8","Trapezoidal",30,10,1,1,1,0
"2_80","Trapezoidal",30,10,1,1,1,0
"2_81","Trapezoidal",30,10,1,1,1,0
"2_82","Trapezoidal",30,10,1,1,1,0
"2_83","Trapezoidal",30,10,1,1,1,0
"2_84","Trapezoidal",30,10,1,1,1,0
"2_85","Trapezoidal",30,10,1,1,1,0
"2_86","Trapezoidal",30,10,1,1,1,0
"2_87","Trapezoidal",30,10,1,1,1,0
"2_88","Trapezoidal",30,10,1,1,1,0
"2_89","Trapezoidal",30,10,1,1,1,0
"2_9","Trapezoidal",30,10,1,1,1,0
"2_90","Trapezoidal",30,10,1,1,1,0
"2_91","Trapezoidal",30,10,1,1,1,0
"2_92","Trapezoidal",30,10,1,1,1,0
"2_93","Trapezoidal",30,10,1,1,1,0
"2_94","Trapezoidal",30,10,1,1,1,0
"2_95","Trapezoidal",30,10,1,1,1,0
"2_96","Trapezoidal",30,10,1,1,1,0
"2_97","Trapezoidal",30,10,1,1,1,0
"2_98","Trapezoidal",30,10,1,1,1,0
"2_99","Trapezoidal",30,10,1,1,1,0
"24_1","Trapezoidal",30,10,1,1,1,0
"24_2","Trapezoidal",30,10,1,1,1,0
"24_3","Trapezoidal",30,10,1,1,1,0
"27_1","Trapezoidal",30,10,1,1,1,0
"3_1","Trapezoidal",30,10,1,1,1,0
"3_10","Trapezoidal",30,10,1,1,1,0
"3_100","Trapezoidal",30,10,1,1,1,0
"3_101","Trapezoidal",30,10,1,1,1,0
"3_102","Trapezoidal",30,10,1,1,1,0
"3_103","Trapezoidal",30,10,1,1,1,0
"3_104","Trapezoidal",30,10,1,1,1,0
"3_105","Trapezoidal",30,10,1,1,1,0
"3_106","Trapezoidal",30,10,1,1,1,0
"3_107","Trapezoidal",30,10,1,1,1,0
"3_108","Trapezoidal",30,10,1,1,1,0
"3_109","Trapezoidal",30,10,1,1,1,0
